call_sign,facility_id,service,licensee,status,details
KITF,122662,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KITX,26159,FM,PAYNE MEDIA GROUP LLC,LICENSED,Click for Details
KIXQ,5269,FM,"ZIMMER RADIO, INC.",LICENSED,Click for Details
KIZS,7669,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KJAC,38345,FM,COMMUNITY RADIO FOR NORTHERN COLORADO,LICENSED,Click for Details
KJAI,60140,FM,SOUTHERN CALIFORNIA PUBLIC RADIO,LICENSED,Click for Details
KJAQ,1091,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KJBX,18085,FM,"SAGA COMMUNICATIONS OF ARKANSAS, LLC",LICENSED,Click for Details
KJEB,48385,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KJIC,12972,FM,"COMMUNITY RADIO, INC.",LICENSED,Click for Details
KJJF,56081,FM,"RELEVANT RADIO, INC.",LICENSED,Click for Details
KJJJ,63410,FM,STEVEN M. GREELEY,LICENSED,Click for Details
KJJP,33273,FM,"KANZA SOCIETY, INC.",LICENSED,Click for Details
KJJZ,165313,FM,"R M BROADCASTING, LLC",LICENSED,Click for Details
KJKK,63779,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KJLH,64639,FM,TAXI LICENSE CORPORATION,LICENSED,Click for Details
KJLV,58843,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KJMN,10056,FM,"ENTRAVISION HOLDINGS, LLC",LICENSED,Click for Details
KJMO,162262,FM,CUMULUS LICENSING LLC,LICENSED,Click for Details
KJMS,35874,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KJMY,6543,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KJOE,70736,FM,"CHRISTENSEN BROADCASTING, LLC",LICENSED,Click for Details
KJR-FM,48387,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KJSN,12960,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KJSR,9801,FM,"COX RADIO, LLC",LICENSED,Click for Details
KJTH,81146,FM,"THE LOVE STATION, INC,",LICENSED,Click for Details
KJZY,31444,FM,REDWOOD EMPIRE STEREOCASTERS,LICENSED,Click for Details
KJZZ,40095,FM,MARICOPA COUNTY COMMUNITY COLLEGE DISTRICT,LICENSED,Click for Details
KKBQ,23083,FM,"CMG NY/TEXAS RADIO, LLC",LICENSED,Click for Details
KKBZ,38455,FM,LOTUS FRESNO CORP.,LICENSED,Click for Details
KKCD,74103,FM,"SM-KKCD, LLC",LICENSED,Click for Details
KKCW,68210,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KKCY,52507,FM,"RESULTS RADIO OF CHICO LICENSEE, LLC",LICENSED,Click for Details
KKDM,42108,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KKDO,6810,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KKEX,63834,FM,"SUN VALLEY RADIO, INC.",LICENSED,Click for Details
KKFN,71767,FM,BONNEVILLE INTERNATIONAL CORPORATION,LICENSED,Click for Details
