yearofbirth,sex,age,percentile,dx,ex,llx,lx,mx,px,qx,sx
1876,female,85,95,1960,4.9,14339,15319,0.1367,0.8721,0.1279,0.8585
1876,female,85,median,1960,4.9,14339,15319,0.1367,0.8721,0.1279,0.8585
1876,female,86,5,2098,4.6,12310,13359,0.1705,0.8429,0.1571,0.8415
1876,female,86,95,2098,4.6,12310,13359,0.1705,0.8429,0.1571,0.8415
1876,female,86,median,2098,4.6,12310,13359,0.1705,0.8429,0.1571,0.8415
1876,female,87,5,1803,4.3,10359,11261,0.174,0.8399,0.1601,0.8342
1876,female,87,95,1803,4.3,10359,11261,0.174,0.8399,0.1601,0.8342
1876,female,87,median,1803,4.3,10359,11261,0.174,0.8399,0.1601,0.8342
1876,female,88,5,1632,4.1,8642,9458,0.1888,0.8275,0.1725,0.8114
1876,female,88,95,1632,4.1,8642,9458,0.1888,0.8275,0.1725,0.8114
1876,female,88,median,1632,4.1,8642,9458,0.1888,0.8275,0.1725,0.8114
1876,female,89,5,1629,3.8,7012,7826,0.2323,0.7919,0.2081,0.798
1876,female,89,95,1629,3.8,7012,7826,0.2323,0.7919,0.2081,0.798
1876,female,89,median,1629,3.8,7012,7826,0.2323,0.7919,0.2081,0.798
1876,female,90,5,1204,3.7,5596,6198,0.2151,0.8058,0.1942,0.8101
1876,female,90,95,1204,3.7,5596,6198,0.2151,0.8058,0.1942,0.8101
1876,female,90,median,1204,3.7,5596,6198,0.2151,0.8058,0.1942,0.8101
1876,female,91,5,922,3.5,4533,4994,0.2034,0.8154,0.1846,0.7915
1876,female,91,95,922,3.5,4533,4994,0.2034,0.8154,0.1846,0.7915
1876,female,91,median,922,3.5,4533,4994,0.2034,0.8154,0.1846,0.7915
1876,female,92,5,968,3.1,3588,4072,0.2699,0.7622,0.2378,0.753
1876,female,92,95,968,3.1,3588,4072,0.2699,0.7622,0.2378,0.753
1876,female,92,median,968,3.1,3588,4072,0.2699,0.7622,0.2378,0.753
1876,female,93,5,804,2.9,2701,3104,0.2976,0.7409,0.2591,0.7353
1876,female,93,95,804,2.9,2701,3104,0.2976,0.7409,0.2591,0.7353
1876,female,93,median,804,2.9,2701,3104,0.2976,0.7409,0.2591,0.7353
1876,female,94,5,626,2.8,1986,2299,0.3152,0.7277,0.2723,0.7258
1876,female,94,95,626,2.8,1986,2299,0.3152,0.7277,0.2723,0.7258
1876,female,94,median,626,2.8,1986,2299,0.3152,0.7277,0.2723,0.7258
1876,female,95,5,463,2.6,1442,1673,0.3212,0.7232,0.2768,0.7182
1876,female,95,95,463,2.6,1442,1673,0.3212,0.7232,0.2768,0.7182
1876,female,95,median,463,2.6,1442,1673,0.3212,0.7232,0.2768,0.7182
1876,female,96,5,350,2.5,1035,1210,0.3376,0.7112,0.2888,0.6905
1876,female,96,95,350,2.5,1035,1210,0.3376,0.7112,0.2888,0.6905
1876,female,96,median,350,2.5,1035,1210,0.3376,0.7112,0.2888,0.6905
1876,female,97,5,292,2.3,715,861,0.4077,0.6613,0.3387,0.6681
1876,female,97,95,292,2.3,715,861,0.4077,0.6613,0.3387,0.6681
1876,female,97,median,292,2.3,715,861,0.4077,0.6613,0.3387,0.6681
1876,female,98,5,183,2.2,478,569,0.3832,0.6784,0.3216,0.6512
1876,female,98,95,183,2.2,478,569,0.3832,0.6784,0.3216,0.6512
1876,female,98,median,183,2.2,478,569,0.3832,0.6784,0.3216,0.6512
1876,female,99,5,150,1.9,311,386,0.4829,0.611,0.389,0.6014
